CASRN,SMILES
932742-30-8,CCCCCCCCCCCC(=O)OCC(C)(C)C=NCC1(C)CC(CC(C)(C)C1)N=CC(C)(C)COC(=O)CCCCCCCCCCC
64-67-5,CCOS(=O)(=O)OCC
67881-98-5,CC(=C)C(=O)OCCOP([O-])(=O)OCC[N+](C)(C)C
697-73-4,FC1=CC=CC(F)=C1CCl
70280-68-1,C[Si](C)(C)O[Si](C)(CCCOCC(O)CO)O[Si](C)(C)C
25564-22-1,CCCCCC1=CCCC1=O
2702-72-9,[Na+].[O-]C(=O)COC1=C(Cl)C=C(Cl)C=C1
923-02-4,CC(=C)C(=O)NCO
1378867-81-2,CC(C)[C@@H]1CCC(CCC=O)=CC1
122-62-3,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC
873888-84-7,CC\C=C/CC(C)OC(=O)C1=C(O)C=CC=C1
118-79-6,OC1=C(Br)C=C(Br)C=C1Br
111-36-4,CCCCN=C=O
376608-71-8,O[C@@H](C(O)=O)C1=CC=CC=C1.N[C@@H]1C[C@H]1C1=CC(F)=C(F)C=C1
91273-04-0,CCCCC(CC)CN(CC(CC)CCCC)CN1C=NC=N1
10025-99-7,[K+].[K+].Cl[Pt--](Cl)(Cl)Cl
56-54-2,[H][C@@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1
123-05-7,CCCCC(CC)C=O
14073-97-3,CC(C)[C@@H]1CC[C@@H](C)CC1=O
17831-71-9,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C
78-98-8,CC(=O)C=O
126877-05-2,CCOCCOC(=O)COC1=CC=C(C=C1)C1=C2C=C3OC(=O)C(=C3C=C2OC1=O)C1=CC=CC=C1
1354632-48-6,[Na+].[Na+].CC(=O)NC1=C(C=C(C(N)=C1)S([O-])(=O)=O)N=NC1=CC=CC(=C1)S(=O)(=O)CCOS([O-])(=O)=O
1185-81-5,CCCCCCCCCCCCS[Sn](CCCC)(CCCC)SCCCCCCCCCCCC
62756-44-9,F.OCC1=CN=CC=C1
3115-49-9,CCCCCCCCCC1=CC=C(OCC(O)=O)C=C1
105-67-9,CC1=CC(C)=C(O)C=C1
167374-38-1,CO\N=C(\C(=O)OC)C1=CC=CC=C1COC1=CC(C)=CC=C1C
166410-06-6,CN(C)\C=C1/[C@H](N(CC1=O)C(=O)OC(C)(C)C)C(=O)OC(C)(C)C
3468-63-1,OC1=C(N=NC2=C(C=C(C=C2)[N+]([O-])=O)[N+]([O-])=O)C2=CC=CC=C2C=C1
72496-88-9,[Na+].[Co+3].CC(=O)[C-](\N=N\C1=CC(=CC=C1[O-])S(N)(=O)=O)C(=O)NC1=CC=CC=C1.CC(=O)[C-](\N=N\C1=CC(=CC=C1[O-])S(N)(=O)=O)C(=O)NC1=CC=CC=C1
92-78-4,OC1=C(C=C2C=CC=CC2=C1)C(=O)NC1=CC=C(Cl)C=C1
111-40-0,NCCNCCN
2439-35-2,CN(C)CCOC(=O)C=C
23328-71-4,[Cl-].CCCCCCCCCCCCCCCCCCOCCC[N+](C)(C)C
437717-43-6,CCCC1=NC(C)=C2N1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(O)(=O)=O
73611-02-6,CC1(C)[C@@H]2[C@H]1C(=O)O[C@H]2O
127-68-4,[Na+].[O-][N+](=O)C1=CC(=CC=C1)S([O-])(=O)=O
98-47-5,OS(=O)(=O)C1=CC=CC(=C1)[N+]([O-])=O
941-69-5,O=C1C=CC(=O)N1C1=CC=CC=C1
78605-96-6,CCCCC\C(C=O)=C/C1=CC=CC=C1
19780-11-1,CCCCCCCCCC=CCC1CC(=O)OC1=O
67014-36-2,CC1=CC2=C(NC(O)=N2)C=C1N
131766-73-9,CCCC1CC(C)(CCO1)OC(C)=O
914917-99-0,OC(=O)C1=CC2=CC=C(OC(=O)OCCCCOC(=O)C=C)C=C2C=C1
119-84-6,O=C1CCC2=C(O1)C=CC=C2
7782-50-5,ClCl
826-55-1,CC(C)(C(O)=O)C1=CC=CC=C1
898566-17-1,CC1=C(CC2=CC=C(S2)C2=CC=C(F)C=C2)C=C(I)C=C1
7550-45-0,Cl[Ti](Cl)(Cl)Cl
79-08-3,OC(=O)CBr
10025-73-7,Cl[Cr](Cl)Cl
123989-31-1,CC(C=C)C(O)C1=CC=C(Cl)C=C1
877399-00-3,C[C@@H](OC1=C(N)N=CC(Br)=C1)C1=C(Cl)C=CC(F)=C1Cl
130-26-7,OC1=C2N=CC=CC2=C(Cl)C=C1I
26159-31-9,COC1=CC2=CC=C(C=C2C=C1)C(C)C(O)=O
957787-76-7,CC(NCCCCCCNC(C)C(C)(C)C)C(C)(C)C
821-06-7,BrC\C=C\CBr
75-08-1,CCS
860035-10-5,CC(C)C(=O)OC(C)OC(=O)ON1C(=O)CCC1=O
28016-00-4,[Zn++].CCCCCCCCCC1=CC2=C(C=CC=C2)C(=C1CCCCCCCCC)S([O-])(=O)=O.CCCCCCCCCC1=CC2=C(C=CC=C2)C(=C1CCCCCCCCC)S([O-])(=O)=O
161596-47-0,O=C1N(C[C@H]2CO2)C(=O)C2=CC=CC=C12
68391-30-0,[Cl-].COC1=CC=CC=C1N=NC1=C(O)C=CC2=CC=C(C=C12)[N+](C)(C)C
5343-44-2,CCCCCCCCCCCC(=O)N(CCCC)CCCC
95-76-1,NC1=CC(Cl)=C(Cl)C=C1
33240-95-8,Cl.NC1=CC(Cl)=C(Cl)C=C1
111-78-4,C1C\C=C/CC\C=C/1
26381-41-9,[Cl-].C[N+](C)(C)C1=CC=C2C=CC(O)=C(N=NC3=CC=C(N)C=C3)C2=C1
19900-69-7,CC(C)C1=CC(CC2=CC(C(C)C)=C(N)C(=C2)C(C)C)=CC(C(C)C)=C1N
1079221-49-0,Cl.NC1=C2C=CC=CN2N=C1OCCO
79992-76-0,[Mg++].CCC(CC)C([O-])=O.CCC(CC)C([O-])=O
134652-60-1,CC(C)[Si](OC(=O)C(C)=C)(C(C)C)C(C)C
65405-77-8,CC\C=C/CCOC(=O)C1=C(O)C=CC=C1
34893-92-0,ClC1=CC(=CC(Cl)=C1)N=C=O
16142-27-1,[Cl-].NC1=C[N+](=NO1)N1CCOCC1
99305-42-7,[H]N(C1CCC(CC2CCC(CC2)N([H])C(=O)OCCCC)CC1)C(=O)OCCCC
