CASRN,SMILES
71735-61-0,[Na+].[Co+3].COCCCNS(=O)(=O)C1=CC=C([O-])C(=C1)\N=N\C1=C2C=CC=CC2=CC=C1[O-].COCCCNS(=O)(=O)C1=CC=C([O-])C(=C1)\N=N\C1=C2C=CC=CC2=CC=C1[O-]
16874-34-3,CCOC(=O)C1CCCO1
1317-39-1,[O--].[Cu+].[Cu+]
7631-95-0,[O--].[O--].[O--].[O--].[Na+].[Na+].[Mo+6]
107-98-2,COCC(C)O
980-26-7,CC1=CC2=C(NC3=CC4=C(NC5=CC=C(C)C=C5C4=O)C=C3C2=O)C=C1
58890-25-8,O=C(NC1CCCCC1)NC1=CC=C(CC2=CC=C(NC(=O)NC3CCCCC3)C=C2)C=C1
294-62-2,C1CCCCCCCCCCC1
18637-00-8,Cl.CCOC1=CC=CC=C1C(N)=N
96383-55-0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C(Cl)=C
7758-89-6,[Cl-].[Cu+]
599-64-4,CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1
1432505-97-9,COC(=O)C1=CC=CC=C1OS(=O)(=O)C1=CC=C(C)C=C1
5945-33-5,CC(C)(C1=CC=C(OP(=O)(OC2=CC=CC=C2)OC2=CC=CC=C2)C=C1)C1=CC=C(OP(=O)(OC2=CC=CC=C2)OC2=CC=CC=C2)C=C1
383-63-1,CCOC(=O)C(F)(F)F
2786-76-7,CCOC1=C(NC(=O)C2=CC3=C(C=CC=C3)C(N=NC3=CC=C(C=C3)C(N)=O)=C2O)C=CC=C1
10294-34-5,ClB(Cl)Cl
175357-18-3,OC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CCCCCCCCC=C
142-17-6,[Ca++].CCCCCCCC\C=C/CCCCCCCC([O-])=O.CCCCCCCC\C=C/CCCCCCCC([O-])=O
78-87-5,CC(Cl)CCl
83161-22-2,CCCCCO[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O
1313-99-1,[O--].[Ni++]
13052-09-0,CCCCC(CC)C(=O)OOC(C)(C)CCC(C)(C)OOC(=O)C(CC)CCCC
27955-94-8,CC(C1=CC=C(O)C=C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
76918-62-2,[NaH].OC(=NC1=CC2=C(C=C1)N=C(O)N2)C1=CC2=CC=CC=C2C=C1O
7722-64-7,[K+].[O-][Mn](=O)(=O)=O
120-61-6,COC(=O)C1=CC=C(C=C1)C(=O)OC
1455-42-1,CC(C)(CO)C1OCC2(CO1)COC(OC2)C(C)(C)CO
38668-48-3,CC(O)CN(CC(C)O)C1=CC=C(C)C=C1
111-88-6,CCCCCCCCS
1310-65-2,[Li+].[OH-]
93-68-5,CC(=O)CC(=O)NC1=C(C)C=CC=C1
70321-85-6,[K+].CC(=O)CC(=O)NC1=CC=C(C=C1)S([O-])(=O)=O
10402-16-1,[Cu+].CCCCCCCC\C=C/CCCCCCCC([O-])=O
84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC
14402-88-1,[Na+].[Na+].[Mg++].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O
1313-97-9,O=[Nd]O[Nd]=O
6022-22-6,[Na+].[Na+].NC1=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C(C=C1S([O-])(=O)=O)C1=CC(=C(N)C2=C1C(=O)C1=CC=CC=C1C2=O)S([O-])(=O)=O
103-83-3,CN(C)CC1=CC=CC=C1
621-95-4,NC1=CC=C(CCC2=CC=C(N)C=C2)C=C1
7783-28-0,[NH4+].[NH4+].OP([O-])([O-])=O
105-58-8,CCOC(=O)OCC
24088-77-5,CC1=CC2=C(C=C1)C(=O)NC(=O)O2
129332-29-2,CC(C)N1C(\C=C\[C@H](O)C[C@H](O)CC(=O)OC(C)(C)C)=C(C2=C1C=CC=C2)C1=CC=C(F)C=C1
646-06-0,C1COCO1
15217-42-2,[Na+].[N-]1N=NC2=CC=CC=C12
3598-16-1,[Na+].[O-]C(=O)COC1=CC=CC=C1
10305-41-6,OCC(O)COC1CCCCC1
40573-09-9,FC(F)=C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F
25307-17-9,CCCCCCCCC=CCCCCCCCCN(CCO)CCO
15875-13-5,CN(C)CCCN1CN(CCCN(C)C)CN(CCCN(C)C)C1
97-52-9,COC1=CC(=CC=C1N)[N+]([O-])=O
141-79-7,CC(C)=CC(C)=O
12251-53-5,[OH-].[OH-].[OH-].[OH-].[Na+].[Al+3]
98-53-3,CC(C)(C)C1CCC(=O)CC1
91-96-3,CC(=O)CC(=O)NC1=CC=C(C=C1C)C1=CC(C)=C(NC(=O)CC(C)=O)C=C1
133-37-9,O[C@@H]([C@H](O)C(O)=O)C(O)=O
87-69-4,O[C@H]([C@@H](O)C(O)=O)C(O)=O
1119-40-0,COC(=O)CCCC(=O)OC
110-03-2,CC(C)(O)CCC(C)(C)O
108-55-4,O=C1CCCC(=O)O1
527-60-6,CC1=CC(C)=C(O)C(C)=C1
361366-15-6,CCOC(=O)C1(CCCC1)OC(=O)CC1=C(C)C=C(C)C=C1C
4314-14-1,CC1=C(N=NC2=CC=CC=C2)C(=O)N(N1)C1=CC=CC=C1
12411-64-2,[NH4+].[NH4+].[NH4+].[NH4+].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].O=[Mo+4].O=[Mo+4].O=[Mo++]=O.O=[Mo++]=O.O=[Mo++]=O.O=[Mo++]=O.O=[Mo++]=O.O=[Mo++]=O
27104-30-9,Cl.NC([O-])=N.OC[P+](CO)(CO)CO
375-72-4,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(F)(=O)=O
110-01-0,C1CCSC1
1443751-77-6,"CCCCCCCC(=O)NCCO |lp:8:2,9:1,12:2,Sg:n:2,3:1-2:ht|"
26591-72-0,COS([O-])(=O)=O.C[N+]1=CN(C=C)C=C1
38172-91-7,CC1CO1.OCC#C
