CASRN,Canonical_QSARr
117704-25-3,CC1=CC2C(=O)OC3CC(CC=C(C)C(OC4CC(OC)C(OC5CC(OC)C(O)C(C)O5)C(C)O4)C(C)C=CC=C4COC(C1O)C42O)OC1(C3)C=CC(C)C(O1)C1CCCCC1
302964-08-5,CC1N=C(Cl)C=C(NC2=NC=C(S2)C(=O)NC2C(Cl)=CC=CC=2C)N=1
629-40-3,N#CCCCCCCC#N
27247-96-7,CCCCC(CO[N+]([O-])=O)CC
1017183-70-8,CC(CC1C=CC(F)=CC=1)C(=O)Cl
27344-41-8,OS(=O)(=O)C1C=CC=CC=1C=CC1C=CC(=CC=1)C1C=CC(C=CC2C=CC=CC=2S(O)(=O)=O)=CC=1
59487-23-9,COC1=CC(OC)=C(Cl)C=C1NC(=O)C1=CC2=CC=CC=C2C(N=NC2=CC(=CC=C2OC)C(=O)NC2C=CC(=CC=2)C(N)=O)=C1O
56-93-9,C[N+](C)(C)CC1C=CC=CC=1
156145-64-1,CC(CC(C)C)=NO[Si](C=C)(ON=C(C)CC(C)C)ON=C(C)CC(C)C
78-84-2,CC(C)C=O
897-06-3,CC12CCC3C(CCC4=CC(=O)C=CC43C)C1CCC2=O
6962-44-3,CC1C=C(NC(C)=O)C(=CC=1)OC
55514-22-2,C1=CC(=CC=C1C1N=C(C(=NN=1)C1C=CC=CC=1)C1C=CC=CC=1)C1N=C(C(=NN=1)C1C=CC=CC=1)C1C=CC=CC=1
16867-03-1,NC1N=CC=CC=1O
1231148-36-9,C1OC2=CC=CC=C2N=C=NC2=CC=CC=C2OCC21COC1=CC=CC=C1N=C=NC1=CC=CC=C1OC2
52-90-4,NC(CS)C(O)=O
95-14-7,C1=CC=CC2NN=NC=21
2512-29-0,CC(=O)C(N=NC1=CC=C(C)C=C1[N+]([O-])=O)C(=O)NC1C=CC=CC=1
111439-76-0,CC(C)[Si](CC(C)C)(OC)OC
5977-14-0,CC(=O)CC(N)=O
21850-44-2,CC(C)(C1=CC(Br)=C(OCC(Br)CBr)C(Br)=C1)C1=CC(Br)=C(OCC(Br)CBr)C(Br)=C1
56966-52-0,NC1C=C(Cl)C=CC=1OC1C=CC(Cl)=CC=1Cl
848820-98-4,CCCCOC(=O)CCP1(=O)OC2=CC=CC=C2C2=CC=CC=C12
1364731-90-7,CC1C=CC=C(C)C=1OS(=O)(=O)C1C=CC(O)=CC=1
827-52-1,C1CCCCC1C1C=CC=CC=1
53-84-9,NC(=O)C1=C[N+](=CC=C1)C1OC(COP([O-])(=O)OP(O)(=O)OCC2OC(C(O)C2O)N2C=NC3=C2N=CN=C3N)C(O)C1O
