CASRN,Canonical_QSARr
41272-40-6,CN(C)C1C=CC(=CC=1)C(C1C=CC=CC=1)=C1C=CC(C=C1)=[N+](C)C
778-94-9,N#CC1C=CC(=CC=1[N+]([O-])=O)C(F)(F)F
1477-55-0,NCC1C=C(CN)C=CC=1
111-34-2,CCCCOC=C
115-27-5,O=C1OC(=O)C2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
2416-94-6,CC1=CC=C(C)C(O)=C1C
1189052-95-6,OP(O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
141-10-6,CC(C)=CCCC(C)=CC=CC(C)=O
130-95-0,COC1=CC=C2N=CC=C(C(O)C3CC4CCN3CC4C=C)C2=C1
298-12-4,OC(=O)C=O
5089-72-5,CCO[Si](CCCNCCN)(OCC)OCC
80-62-6,CC(=C)C(=O)OC
89392-03-0,COC1=CC(=NC(NC(=O)OC2C=CC=CC=2)=N1)OC
31098-20-1,C=CC(=O)OCCCS(O)(=O)=O
826-36-8,CC1(C)CC(=O)CC(C)(C)N1
4394-85-8,O=CN1CCOCC1
494-19-9,C1CC2=CC=CC=C2NC2=CC=CC=C21
87-60-5,CC1=C(N)C=CC=C1Cl
34036-80-1,CC(CC)=NO[Si](ON=C(C)CC)(ON=C(C)CC)C1C=CC=CC=1
5398-29-8,NC(=N)SCCC(O)=O
