CASRN,Canonical_QSARr
106-50-3,NC1C=CC(N)=CC=1
1072-62-4,CCC1NC=CN=1
7423-42-9,CCCCC(COC(=O)C=CC(O)=O)CC
618-88-2,[O-][N+](=O)C1C=C(C=C(C=1)C(O)=O)C(O)=O
141-78-6,CCOC(C)=O
16652-76-9,CC(C)C(N)C(=O)OCC1=CC=CC=C1
101-54-2,NC1C=CC(=CC=1)NC1C=CC=CC=1
105-44-2,CC(C)CC(C)=NO
22113-87-7,CN
6610-29-3,CNC(=S)NN
3697-42-5,N=C(NC(=N)NCCCCCCNC(=N)NC(=N)NC1C=CC(Cl)=CC=1)NC1C=CC(Cl)=CC=1
78-90-0,CC(N)CN
108-42-9,NC1=CC(Cl)=CC=C1
90-05-1,COC1C=CC=CC=1O
100-68-5,CSC1C=CC=CC=1
4511-42-6,CC1OC(=O)C(C)OC1=O
186817-80-1,CC(O)C(=O)OCC(CCCC)CC
70210-31-0,NC1C=CC(=CC=1S(O)(=O)=O)N=NC1=CC=C(N=NC2=CC=C(N=NC3C(=CC4C=C(C=CC=4C=3O)NC(=O)C3=CC=CC=C3)S(O)(=O)=O)C3=CC=C(C=C32)S(O)(=O)=O)C2=CC=C(C=C21)S(O)(=O)=O
13001-46-2,CC(C)COC(S)=S
16470-24-9,OS(=O)(=O)C1C=C(C=CC=1C=CC1C=CC(=CC=1S(O)(=O)=O)NC1N=C(NC2C=CC(=CC=2)S(O)(=O)=O)N=C(N=1)N(CCO)CCO)NC1N=C(NC2C=CC(=CC=2)S(O)(=O)=O)N=C(N=1)N(CCO)CCO
85-83-6,CC1C=C(C=CC=1N=NC1=C(O)C=CC2C=CC=CC=21)N=NC1=CC=CC=C1C
162537-11-3,COC(=O)NC(C(O)=O)C(C)(C)C
1229457-94-6,IC1C=NN(C=1)C1CCNCC1
3012-65-5,OC(=O)C(O)(CC(O)=O)CC(O)=O
106-51-4,O=C1C=CC(=O)C=C1
53831-80-4,C[N+](C)(C)C1C=CC=C(N)C=1
847842-48-2,NC1N=C(NC2CC2)C2N=CN(C3CC(CO)C=C3)C=2N=1
85-42-7,O=C1OC(=O)C2CCCCC12
2008-39-1,OC(=O)COC1C=CC(Cl)=CC=1Cl
768-35-4,OB(O)C1C=CC=C(F)C=1
17766-26-6,S=C1NC(=S)NC(=S)N1
42797-18-2,OC(=O)C1=CC=CC=C1C(=O)C1C=CC(=CC=1)C1C=CC=CC=1
164524-02-1,CC(C)C1C=CC(=CC=1)S(O)(=O)=O
100-61-8,CNC1C=CC=CC=1
2431-50-7,C=C(Cl)C(Cl)CCl
124-41-4,CO
36211-43-5,CC(CC(O)=O)CC(C)(C)C
121-46-0,C1C2C=CC1C=C2
